E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
0,0+,STABLE,,,,,
1368.667 5,2+,1.36 ps 3,1368.625 5,100,E2,0,0+
4122.853 12,4+,24.3 fs 21,2754.016 11,100,E2,1368.667,2+
4238.35 4,2+,45.7 fs 35,"2869.50 6 ,    4237.96 6","27.8 8 ,   100.0 6","M1+E2, [E2]","1368.667,        0","2+, 0+"
5235.16 5,3+,68 fs 5,"996.83 10 ,    3866.15 10 ,    5235","2.63 14 ,   100.0 5 ,    10 3","D+Q, E2(+M1), [M3]","4238.35,     1368.667,        0","2+, 2+, 0+"
6010.34 5,4+,53 fs 4,"775.4 2 ,    1771.92 7 ,    1887.52 20 ,    4641.19 9","1.6 2 ,    11.4 4 ,     1.64 18 ,   100.0 5",", [E2], , [E2]","5235.16,     4238.35,     4122.853,     1368.667","3+, 2+, 4+, 2+"
6432.2 10,0+,69 fs 12,"2194,    5063.2,    6432","21.0 9 ,   100.0 9 ,","[E2], [E2], E0","4238.35,     1368.667,        0","2+, 2+, 0+"
7000,,,,,,,
7348.60 10,2+,6.5 fs 22,"5979.5 8 ,    7347.2 9","61 3 ,   100 3",", [E2]","1368.667,        0","2+, 0+"
7555.3 10,1-,270 fs 55,"3316.7,    6185.8,    7554.0","49 4 ,    64 4 ,   100 6","[E1], [E1], [E1]","4238.35,     1368.667,        0","2+, 2+, 0+"
7616.41 7,3-,1.01 ps 15,"2381.0 3 ,    3378.3 8 ,    3493.3,    6246.89 11 ,    7615.2 9","7 2 ,     8.0 13 ,     7.2 14 ,   100 3 ,    38 3","[E1], [E1], [E1], [E1], [E3]","5235.16,     4238.35,     4122.853,     1368.667,        0","3+, 2+, 4+, 2+, 0+"
7747.7 2,1+,12.5 fs 28,"3509.1,    6378.1,    7746.4","12.9 9 ,   100 3 ,    39 3",", ,","4238.35,     1368.667,        0","2+, 2+, 0+"
7812.4 5,"(4-,5+)",21 fs 3,"1800,    2577.4 8 ,    3690","12 3 ,   100 5 ,    51 7",", ,","6010.34,     5235.16,     4122.853","4+, 3+, 4+"
8113.2 10,6+,3.6 fs 12,3990,100,[E2],4122.853,4+
8358.1 3,3-,63 fs 8,"2347.7,    3122.7,    6988.3,    8356.5","22 4 ,    33 4 ,   100 7 ,     8.6 10","[E1], [E1], [E1], [E3]","6010.34,     5235.16,     1368.667,        0","4+, 3+, 2+, 0+"
8438.4 10,1-,9 fs 2,"7068.6,    8436.8","25 13 ,   100 13","[E1], (E1)","1368.667,        0","2+, 0+"
8439.29 5,4+,3.2 fs 14,"822.0 6 ,    1090.67 10 ,    2428.97 15 ,    3203.88 8 ,    4200.54 13 ,    4316.00 12 ,    7069.50 12","0.05 2 ,     0.32 2 ,     1.79 4 ,     7.21 16 ,     9.5 5 ,    33 3 ,   100.0 17","[E1], [E2], , , [E2], , [E2]","7616.41,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","3-, 2+, 4+, 3+, 2+, 4+, 2+"
8654.9 4,2+,14 fs 3,"2222.3,    4416.1,    7285.0","6.1 12 ,    17 3 ,   100.0 25","[E2], ,","6432.2,     4238.35,     1368.667","0+, 2+, 2+"
8864.5 2,2-,5.5 fs 21,"3629.0,    4625.7,    7494.6,    8862.7","2.17 16 ,     8.9 3 ,   100.0 3 ,     1.03 16","[E1], [E1], [E1], [M2]","5235.16,     4238.35,     1368.667,        0","3+, 2+, 2+, 0+"
9003.5 2,2+,8.4 fs 12,"1654.4,    2570.9,    4880.1,    9001.7","12 4 ,    14 6 ,    35 10 ,   100 12",", [E2], [E2], [E2]","7348.60,     6432.2,     4122.853,        0","2+, 0+, 4+, 0+"
9146.2 3,1-,,"4907.3,    7776.2,    9144.3","53 4 ,    60 4 ,   100 6",", ,","4238.35,     1368.667,        0","2+, 2+, 0+"
9160 15,[5-],,,,,,
9284.4 3,"2+,4+",11 fs 3,"5161,    7914.3","27 4 ,   100 3",",","4122.853,     1368.667","4+, 2+"
9299.8 3,,,1683.3,100,,7616.41,3-
9301.07 9,(4+),7 fs 2,"1952.38 20 ,    5060.7 8 ,    5177.51 20 ,    7930.87 15","7.3 5 ,     2.8 10 ,    76 8 ,   100 8",", , ,","7348.60,     4238.35,     4122.853,     1368.667","2+, 2+, 4+, 2+"
9305.39 24,0+,173 fs 35,7935.3,100,,1368.667,2+
9450 15,"[5-,6+]",,,,,,
9457.81 4,(3)+,4.3 fs 21,"1710.0,    2108.65,    3447.21,    4222.20,    5218.81,    5334.29,    8087.66","2.1 9 ,     1.5 5 ,     2.1 3 ,    12.0 8 ,     5.6 6 ,    28.4 9 ,   100.0 17",", , , , , ,","7747.7,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","1+, 2+, 4+, 3+, 2+, 4+, 2+"
9516.18 5,4+,12 fs 5,"1076.86 4 ,    1704.8 8 ,    1899.70 6 ,    3505.61 9 ,    4280.62 13 ,    5277.2,    5392.68 9 ,    8146.0","85.8 17 ,     0.09 2 ,     4.74 12 ,    11.5 4 ,     3.82 23 ,     2.0 10 ,   100 6 ,     0.16 4",", , [E1], , , , , [E2]","8439.29,     7812.4,     7616.41,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","4+, (4-,5+), 3-, 4+, 3+, 2+, 4+, 2+"
9527.6 7,(6+),8 fs 4,"3517.0,    5404.0","100 6 ,    28 6","[E2], [E2]","6010.34,     4122.853","4+, 4+"
9532.7 2,"(2,3)+",14 fs 7,"1916.0,    4297.1,    5293.7,    8162.5","7.4 10 ,    39 6 ,    84 6 ,   100 26",", , ,","7616.41,     5235.16,     4238.35,     1368.667","3-, 3+, 2+, 2+"
9828.0 20,1+,0.30 fs 7,"3395.2,    8457.7,    9825.9 20","2.1 5 ,    30.3 20 ,   100.0 19",", ,","6432.2,     1368.667,        0","0+, 2+, 0+"
9940 15,[5-],,,,,,
9965.3 11,1+,71 as 7,"8595.1 15 ,    9963.0 15","38 6 ,   100 12",",","1368.667,        0","2+, 0+"
10027.97 9,5-,62 fs 18,"1670,    2215.6,    2411.2,    4017.2,    5904.2,    8657.5","45.4 22 ,     7.3 12 ,     8.8 24 ,    23 3 ,   100 10 ,    61 12","[E2], , [E2], [E1], [E1], [E3]","8358.1,     7812.4,     7616.41,     6010.34,     4122.853,     1368.667","3-, (4-,5+), 3-, 4+, 4+, 2+"
10059.1 4,"(1,2)+",< 3 fs,"5820.0,    8688.6 25","16 4 ,   100 4",",","4238.35,     1368.667","2+, 2+"
10110.9 4,(0+),< 5 keV,8740.5,100,,1368.667,2+
10161 3,(0+),,,,,,
10250 15,"[4+,5-]",,,,,,
10333.6 2,3-,< 7 keV,"6094.4,    8963","61 11 ,   100 11",",","4238.35,     1368.667","2+, 2+"
10360.7 3,2+,1.0 fs 3,"3927.9,    5124.9,    8990.2,   10358.3","1.2 4 ,     3.0 7 ,   100 4 ,    72 4","[E2], , , [E2]","6432.2,     5235.16,     1368.667,        0","0+, 3+, 2+, 0+"
10575.93 8,(4)+,9 fs 2,"1059.78 8 ,    1274.71 10 ,    2136.58 15 ,    5340.3 4","100 6 ,    37.2 21 ,    59 3 ,    40 5",", , ,","9516.18,     9301.07,     8439.29,     5235.16","4+, (4+), 4+, 3+"
10581.26 13,"(2+,3+,4+)",< 2 fs,"4570.4,    5345.4,    6342.0,    6457.4,    9210.6","20.6 8 ,    53.4 15 ,   100 3 ,    37.6 13 ,    46.1 15",", , , ,","6010.34,     5235.16,     4238.35,     4122.853,     1368.667","4+, 3+, 2+, 4+, 2+"
10659.8 2,"(1,2+)",,"9289.2,   10657.3","43 11 ,   100 11",",","1368.667,        0","2+, 0+"
10660.17 17,"(3+,4+)",< 2 fs,"5424.2,    6536.3,    9289.5","12 3 ,    35 13 ,   100 13",", ,","5235.16,     4122.853,     1368.667","3+, 4+, 2+"
10679.7 3,0+,2.1 eV 8,"3124,    3331,    6440,    9309","0.6 4 ,     2.4 4 ,    14.7 12 ,   100 3",", , ,","7555.3,     7348.60,     4238.35,     1368.667","1-, 2+, 2+, 2+"
10712.2 2,1+,23 as 2,10709.6,100,,0,0+
10731.1 2,2+,7 fs 3,"5495.2,    6491.8,    9360.5","10 3 ,    27 3 ,   100 4",", (M1),","5235.16,     4238.35,     1368.667","3+, 2+, 2+"
10820.8 4,"3+,4+",7.5 eV 11,9450.1 4,100,,1368.667,2+
10917.2 3,2+,0.8 fs 1,"4485,    4906.3,    5681.3,    6677.8,    6793.3,    9546.5,   10914.5","0.85 21 ,     1.70 21 ,     2.77 21 ,     1.06 21 ,    34.0 21 ,   100 4 ,    72 4","[E2], [E2], , , [E2], , [E2]","6432.2,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667,        0","0+, 4+, 3+, 2+, 4+, 2+, 0+"
11012 3,"3,5+",,"2573,    5001","100 11 ,    47 9",",","8439.29,     6010.34","4+, 4+"
11018 3,2+,< 3 keV,"1048,    3270,    3462,    5007,    5782,    6779,    6894,    9647,   11015","2.5 6 ,     0.62 12 ,     0.37 12 ,     0.86 12 ,     1.5 3 ,     2.4 4 ,     1.0 3 ,   100 3 ,    14.2 12",", , , , , , , ,","9965.3,     7747.7,     7555.3,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667,        0","1+, 1+, 1-, 4+, 3+, 2+, 4+, 2+, 0+"
11133 3,,26 fs 4,3518,100,,7616.41,3-
11150 15,"[6+,7-]",,,,,,
11165 2,3-,< 3 keV,"2726,    3609,    5154,    5929,    7041,    9794","5.8 3 ,     6.2 3 ,    13.1 3 ,    11.3 3 ,     1.81 14 ,   100 3",", , , , ,","8438.4,     7555.3,     6010.34,     5235.16,     4122.853,     1368.667","1-, 1-, 4+, 3+, 4+, 2+"
11181 3,,,,,,,
11187.3 3,,,9816.5,100,,1368.667,2+
11207 3,,0.0022 eV 12,9836,100,,1368.667,2+
11216.69 18,"3+,4+",0.78 eV 11,"1700,    2562,    3868,    5981,    7093,    9846","1.40 12 ,     0.81 12 ,     0.35 12 ,     0.93 12 ,    12.8 12 ,   100.0 23",", , , , ,","9516.18,     8654.9,     7348.60,     5235.16,     4122.853,     1368.667","4+, 2+, 2+, 3+, 4+, 2+"
11293 3,,20 fs 3,,,,,
11314.4 15,"(3,4)+",,9943.5 15,100,,1368.667,2+
11330 3,,,9959,100,,1368.667,2+
11390 20,0+,,,,,,
11391 3,1-,0.5 keV,"1332,    1426,    2953,    3643,    4958,    7152,   10020,   11388","1.9 3 ,     1.01 14 ,     1.01 14 ,     1.45 14 ,     1.16 14 ,     2.2 3 ,   100 3 ,    36.2 14",", , , , , , ,","10059.1,     9965.3,     8438.4,     7747.7,     6432.2,     4238.35,     1368.667,        0","(1,2)+, 1+, 1-, 1+, 0+, 2+, 2+, 0+"
11394 4,,,,,,,
11452.8 4,2+,< 2 keV,"721.7,    1393.7,    1487.5,    3704.8,    3836.0,    4103.4,    6216.7,    7213.3,    7328.7,   10081.8,   11449.8","3.4 5 ,     1.14 23 ,    12.7 7 ,     3.2 5 ,     0.9 5 ,     1.36 23 ,     4.1 5 ,    47.7 23 ,     1.82 23 ,   100.0 23 ,    50.0 23",", , , , , , , , , ,","10731.1,    10059.1,     9965.3,     7747.7,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0","2+, (1,2)+, 1+, 1+, 3-, 2+, 3+, 2+, 4+, 2+, 0+"
11457 3,(0+),,,,,,
11522 2,2+,0.5 keV,"791,    1463,    1557,    3164,    3774,    3905,    5089,    7282,    7398,   10151,   11519","1.59 16 ,     2.1 3 ,     1.11 16 ,     0.32 16 ,     1.11 16 ,     1.43 16 ,    12.2 5 ,     8.1 3 ,     7.0 3 ,    23.8 16 ,   100 3",", , , , , , , , , ,","10731.1,    10059.1,     9965.3,     8358.1,     7747.7,     7616.41,     6432.2,     4238.35,     4122.853,     1368.667,        0","2+, (1,2)+, 1+, 3-, 1+, 3-, 0+, 2+, 4+, 2+, 0+"
11527 4,(2+),,,,,,
11568,(2+),,,,,,
11600 2,3-,15 fs 4,"2084,    2299,    2300,    2315,    3242,    3983,    7476","21.8 14 ,    75 5 ,     5.9 14 ,    12.5 11 ,     8.2 7 ,   100 5 ,     3.9 5","[E1], [E1], , [E1], , , [E1]","9516.18,     9301.07,     9299.8,     9284.4,     8358.1,     7616.41,     4122.853","4+, (4+), , 2+,4+, 3-, 3-, 4+"
11618 3,,,,,,,
11698.2 13,4+,1.6 eV 6,"686,    2397,    2398,    3043,    3259,    3885,    4349,    5687,    6462,    7459,    7574,   10327","1.82 23 ,   100 5 ,     1.1 5 ,     2.5 5 ,     3.6 5 ,     1.4 5 ,     5.9 5 ,     5.0 5 ,     6.8 5 ,    19.8 9 ,    15.7 9 ,    64 5",", , , , , , , , , , ,","11012,     9301.07,     9299.8,     8654.9,     8439.29,     7812.4,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","3,5+, (4+), , 2+, 4+, (4-,5+), 2+, 4+, 3+, 2+, 4+, 2+"
11730 2,0+,10 keV 2,"1765,    4174,    7490,   10359","3.48 22 ,     1.63 11 ,     3.59 22 ,   100.0 22",", , ,","9965.3,     7555.3,     4238.35,     1368.667","1+, 1-, 2+, 2+"
11830 2,,,,,,,
11860 2,(8+),63 fs 24,3747,100,,8113.2,6+
11862.8 13,1-,7.0 keV 3,"4306,    4513,    7622,   10491,   11859","4.4 4 ,     1.75 18 ,     4.4 4 ,    65 4 ,   100 4",", , , ,","7555.3,     7348.60,     4238.35,     1368.667,        0","1-, 2+, 2+, 2+, 0+"
11909 2,,5.5 keV 22,,,,,
11932.9 2,(3)+,< 0.02 keV,"2631.9,    3068.4,    4120.5,    4583.6,    5922.0,    6696.9,    7693.4,    7808.9,   10561.9","0.19 7 ,     0.34 7 ,     1.41 16 ,     1.62 19 ,     4.3 5 ,     1.27 21 ,     0.51 19 ,    24.4 24 ,   100 10",", , , , , , , ,","9301.07,     8864.5,     7812.4,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","(4+), 2-, (4-,5+), 2+, 4+, 3+, 2+, 4+, 2+"
11966.6 5,2+,2.0 keV 4,"760,    1236,    1908,    2001,    5534,    6731,    7727,    7842,   10596,   11964","0.9 3 ,     3.7 6 ,    12.0 6 ,     4.9 6 ,     9.4 6 ,    60 3 ,    46 3 ,     3.4 3 ,   100 6 ,    46 3",", , , , , , , , ,","11207,    10731.1,    10059.1,     9965.3,     6432.2,     5235.16,     4238.35,     4122.853,     1368.667,        0",", 2+, (1,2)+, 1+, 0+, 3+, 2+, 4+, 2+, 0+"
11988.5 1,2+,< 0.02 keV,"1257.4,    1929.3,    2703.9,    2984.8,    3122.8,    3549.8,    4240.4,    4432.8,    6752.3,    7748.8,   10617.3,   11985.3","0.9 4 ,     1.5 9 ,     2.0 11 ,     1.3 7 ,    11 5 ,     6.3 4 ,    11 5 ,     3.3 17 ,    17 9 ,   100 5 ,    61 2 ,     1.7 9",", , , , , , , , , , ,","10731.1,    10059.1,     9284.4,     9003.5,     8864.5,     8438.4,     7747.7,     7555.3,     5235.16,     4238.35,     1368.667,        0","2+, (1,2)+, 2+,4+, 2+, 2-, 1-, 1+, 1-, 3+, 2+, 2+, 0+"
12003 3,,< 1 keV,"991,    3563,    5992,    7879","19 3 ,     9.5 16 ,    30 3 ,   100 3",", , ,","11012,     8439.29,     6010.34,     4122.853","3,5+, 4+, 4+, 4+"
12017.2 6,3-,0.7 keV 2,,,,,
12051.3 5,4+,< 0.02 keV,"6040,    6815,    7927,   10680","6.9 7 ,    30.6 14 ,   100 3 ,     1.4 3",", , ,","6010.34,     5235.16,     4122.853,     1368.667","4+, 3+, 4+, 2+"
12119.0 10,4+,1.9 keV 3,"2603,    6108,    7879,    7995,   10748","100 8 ,    27 5 ,    92 5 ,    38 5 ,    14 3",", , , ,","9516.18,     6010.34,     4238.35,     4122.853,     1368.667","4+, 4+, 2+, 4+, 2+"
12128 3,,,4315,100,,7812.4,"(4-,5+)"
12162 3,4+,0.9 keV 3,"2646,    3158,    6926,    7922,    8038,   10791","17.6 20 ,     3.9 10 ,     5.9 20 ,    11.8 20 ,   100 6 ,    57 6",", , , , ,","9516.18,     9003.5,     5235.16,     4238.35,     4122.853,     1368.667","4+, 2+, 3+, 2+, 4+, 2+"
12183.3 1,,< 0.046 keV,"966.6,    1452.2,    1822.5,    2217.9,    3528.1,    4435.2,    5750.4,    7943.5,   10812.0,   12180.0","2.1 11 ,     2.0 10 ,     5.0 25 ,     1.4 7 ,     4.8 24 ,     3.7 18 ,     1.8 10 ,    12.8 7 ,   100 6 ,     7 4",", , , , , , , , ,","11216.69,    10731.1,    10360.7,     9965.3,     8654.9,     7747.7,     6432.2,     4238.35,     1368.667,        0","3+,4+, 2+, 2+, 1+, 2+, 1+, 0+, 2+, 2+, 0+"
12244 3,,,,,,,
12259.3 5,2-,< 0.06 keV,"1042.6,    2293.9,    2431.0,    3255.6,    3394.5,    3819.7,    4910.2,    7023.0,    8019.5,    8135.0,   10888.0,   12255.9","3.3 18 ,     1.1 7 ,     2.2 11 ,     4.4 22 ,     9 4 ,     5.6 28 ,     9 4 ,    24.4 22 ,   100 5 ,     1.1 7 ,    60 2 ,     2.2 11",", , , , , , , , , , ,","11216.69,     9965.3,     9828.0,     9003.5,     8864.5,     8439.29,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0","3+,4+, 1+, 1+, 2+, 2-, 4+, 2+, 3+, 2+, 4+, 2+, 0+"
12259.8 4,3-,1.8 keV 3,,,,,
12273 5,(3-),,,,,,
12340 15,[7+],,,,,,
12340.2 4,3+,< 0.07 keV,"1680.3,    3336.5,    3685.0,    4723.3,    4991.0,    7103.9,    8100.4,    8215.8,   10968.8","1.1 7 ,     5.1 27 ,     2.4 13 ,     9 4 ,    29 2 ,    47 2 ,   100 5 ,     4.9 24 ,    24 1",", , , , , , , ,","10659.8,     9003.5,     8654.9,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667","(1,2+), 2+, 2+, 3-, 2+, 3+, 2+, 4+, 2+"
12342 3,,3.5 fs 14,4529,100,,7812.4,"(4-,5+)"
12385,0-,7 keV 2,,,,,
12400.3 5,3+,< 0.09 keV,"2341.1,    2883.9,    2942.3,    3396.5,    4783.4,    5051.1,    7164.0,    8160.5,    8275.9,   11028.9","3.9,    18,     2.8,     4.9,    10,    31,    44,   100,     6,    36",", , , , , , , , ,","10059.1,     9516.18,     9457.81,     9003.5,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667","(1,2)+, 4+, (3)+, 2+, 3-, 2+, 3+, 2+, 4+, 2+"
